"Test","Parameter","Verdict","Time","Duration","Log","Band","Type","Version"
"26.6.2.3.1","1","PASS","4/3/2017 9:55:17 PM","00:01:14","26_6_2_3_1\GSM900 1 03-04-17 215517\","GSM900","GERAN","2.00.1"
"26.6.2.3.1","2","PASS","4/3/2017 9:56:31 PM","00:01:15","26_6_2_3_1\GSM900 2 03-04-17 215631\","GSM900","GERAN","2.00.1"
"26.6.2.3.2","none","PASS","4/3/2017 9:57:46 PM","00:00:55","26_6_2_3_2\GSM900 none 03-04-17 215746\","GSM900","GERAN","2.00.1"
"26.6.2.4","none","PASS","4/3/2017 9:58:41 PM","00:00:56","26_6_2_4\GSM900 none 03-04-17 215841\","GSM900","GERAN","2.00.1"
"26.6.2.5","none","PASS","4/3/2017 9:59:37 PM","00:00:57","26_6_2_5\GSM900 none 03-04-17 215937\","GSM900","GERAN","2.00.1"
"26.6.4.2.1","none","PASS","4/3/2017 10:00:57 PM","00:01:08","26_6_4_2_1\GSM900 none 03-04-17 220057\","GSM900","GERAN","2.00.1"
"26.6.4.2.2","none","PASS","4/3/2017 10:02:05 PM","00:01:06","26_6_4_2_2\GSM900 none 03-04-17 220205\","GSM900","GERAN","2.00.1"
"26.6.6.1","F1","INCONCLUSIVE","4/3/2017 10:03:54 PM","00:01:19","26_6_6_1\GSM900 F1 03-04-17 220354\","GSM900","GERAN","2.00.1"
"26.6.6.1","F2","INCONCLUSIVE","4/3/2017 10:05:13 PM","00:01:19","26_6_6_1\GSM900 F2 03-04-17 220513\","GSM900","GERAN","2.00.1"
"26.6.6.1","F3","INCONCLUSIVE","4/3/2017 10:06:32 PM","00:01:15","26_6_6_1\GSM900 F3 03-04-17 220632\","GSM900","GERAN","2.00.1"
"26.6.6.1","H1","INCONCLUSIVE","4/3/2017 10:07:47 PM","00:01:21","26_6_6_1\GSM900 H1 03-04-17 220747\","GSM900","GERAN","2.00.1"
"26.6.6.1","H2","INCONCLUSIVE","4/3/2017 10:09:08 PM","00:01:16","26_6_6_1\GSM900 H2 03-04-17 220908\","GSM900","GERAN","2.00.1"
"26.6.6.1","H3","INCONCLUSIVE","4/3/2017 10:10:24 PM","00:01:15","26_6_6_1\GSM900 H3 03-04-17 221024\","GSM900","GERAN","2.00.1"
"26.6.6.1","S1","INCONCLUSIVE","4/3/2017 10:11:39 PM","00:01:17","26_6_6_1\GSM900 S1 03-04-17 221139\","GSM900","GERAN","2.00.1"
"26.6.6.1","S2","INCONCLUSIVE","4/3/2017 10:12:56 PM","00:01:17","26_6_6_1\GSM900 S2 03-04-17 221256\","GSM900","GERAN","2.00.1"
"26.6.6.1","S3","INCONCLUSIVE","4/3/2017 10:14:14 PM","00:01:18","26_6_6_1\GSM900 S3 03-04-17 221414\","GSM900","GERAN","2.00.1"
"26.6.7.1","none","PASS","4/3/2017 10:15:32 PM","00:00:55","26_6_7_1\GSM900 none 03-04-17 221532\","GSM900","GERAN","2.00.1"
"26.6.7.2","none","PASS","4/3/2017 10:16:27 PM","00:00:58","26_6_7_2\GSM900 none 03-04-17 221627\","GSM900","GERAN","2.00.1"
"26.6.8.1","1","INCONCLUSIVE","4/3/2017 10:17:25 PM","00:01:14","26_6_8_1\GSM900 1 03-04-17 221725\","GSM900","GERAN","2.00.1"
"26.6.8.1","3","INCONCLUSIVE","4/3/2017 10:18:39 PM","00:00:54","26_6_8_1\GSM900 3 03-04-17 221839\","GSM900","GERAN","2.00.1"
"26.6.8.2","none","INCONCLUSIVE","4/3/2017 10:19:33 PM","00:01:09","26_6_8_2\GSM900 none 03-04-17 221933\","GSM900","GERAN","2.00.1"
"26.6.8.3","none","INCONCLUSIVE","4/3/2017 10:20:42 PM","00:00:55","26_6_8_3\GSM900 none 03-04-17 222042\","GSM900","GERAN","2.00.1"
"26.6.8.5","none","FAIL","4/3/2017 10:21:39 PM","00:00:58","26_6_8_5\GSM900 none 03-04-17 222139\","GSM900","GERAN","2.00.1"
"26.6.8.6","none","PASS","4/3/2017 10:22:37 PM","00:02:45","26_6_8_6\GSM900 none 03-04-17 222237\","GSM900","GERAN","2.00.1"
"26.6.11.2","none","PASS","4/3/2017 10:25:22 PM","00:01:37","26_6_11_2\GSM900 none 03-04-17 222522\","GSM900","GERAN","2.00.1"
"26.6.12.1","none","PASS","4/3/2017 10:26:59 PM","00:01:08","26_6_12_1\GSM900 none 03-04-17 222659\","GSM900","GERAN","2.00.1"
"26.6.12.2","none","INCONCLUSIVE","4/3/2017 10:28:07 PM","00:00:59","26_6_12_2\GSM900 none 03-04-17 222807\","GSM900","GERAN","2.00.1"
"26.6.12.3","none","PASS","4/3/2017 10:29:06 PM","00:01:05","26_6_12_3\GSM900 none 03-04-17 222906\","GSM900","GERAN","2.00.1"
"26.6.12.4","none","PASS","4/3/2017 10:30:11 PM","00:01:05","26_6_12_4\GSM900 none 03-04-17 223011\","GSM900","GERAN","2.00.1"
"26.6.13.3","none","PASS","4/3/2017 10:31:19 PM","00:01:17","26_6_13_3\GSM900 none 03-04-17 223119\","GSM900","GERAN","2.00.1"
"26.6.13.9","none","PASS","4/3/2017 10:32:43 PM","00:00:54","26_6_13_9\GSM900 none 03-04-17 223243\","GSM900","GERAN","2.00.1"
"26.6.23.1","none","PASS","4/3/2017 10:33:41 PM","00:01:32","26_6_23_1\GSM900 none 03-04-17 223341\","GSM900","GERAN","2.00.1"
"26.6.23.2","none","PASS","4/3/2017 10:35:13 PM","00:01:33","26_6_23_2\GSM900 none 03-04-17 223513\","GSM900","GERAN","2.00.1"
"26.6.23.3","none","INVALID","4/3/2017 10:36:46 PM","00:03:20","26_6_23_3\GSM900 none 03-04-17 223646\","GSM900","GERAN","2.00.1"
"26.22.1","none","INCONCLUSIVE","4/3/2017 10:40:06 PM","00:00:57","26_22_1\GSM900 none 03-04-17 224006\","GSM900","GERAN","2.00.1"
"28.2","none","INCONCLUSIVE","4/3/2017 10:41:03 PM","00:03:15","28_2\GSM900 none 03-04-17 224103\","GSM900","GERAN","2.00.1"
"28.3","1","INCONCLUSIVE","4/3/2017 10:44:18 PM","00:05:16","28_3\GSM900 1 03-04-17 224418\","GSM900","GERAN","2.00.1"
"28.3","10","INCONCLUSIVE","4/3/2017 10:49:34 PM","00:05:18","28_3\GSM900 10 03-04-17 224934\","GSM900","GERAN","2.00.1"
"28.3","2","INCONCLUSIVE","4/3/2017 10:54:52 PM","00:05:14","28_3\GSM900 2 03-04-17 225452\","GSM900","GERAN","2.00.1"
"28.3","3","INCONCLUSIVE","4/3/2017 11:00:06 PM","00:05:21","28_3\GSM900 3 03-04-17 230006\","GSM900","GERAN","2.00.1"
"28.3","4","INCONCLUSIVE","4/3/2017 11:05:27 PM","00:05:16","28_3\GSM900 4 03-04-17 230527\","GSM900","GERAN","2.00.1"
"28.3","5","INCONCLUSIVE","4/3/2017 11:10:43 PM","00:05:14","28_3\GSM900 5 03-04-17 231043\","GSM900","GERAN","2.00.1"
"28.3","6","INCONCLUSIVE","4/3/2017 11:15:57 PM","00:05:17","28_3\GSM900 6 03-04-17 231557\","GSM900","GERAN","2.00.1"
"28.3","7","INCONCLUSIVE","4/3/2017 11:21:14 PM","00:05:14","28_3\GSM900 7 03-04-17 232114\","GSM900","GERAN","2.00.1"
"28.3","8","INCONCLUSIVE","4/3/2017 11:26:29 PM","00:05:16","28_3\GSM900 8 03-04-17 232629\","GSM900","GERAN","2.00.1"
"28.3","9","INCONCLUSIVE","4/3/2017 11:31:45 PM","00:05:14","28_3\GSM900 9 03-04-17 233145\","GSM900","GERAN","2.00.1"

